file_extension	num_files	min_file_size	mean_file_size	max_file_size	total_size
html	346	256	23046	160682	7974138
version	2	0	0	0	0
json	5	2	14246	62023	71231
xml	1	45021	45021	45021	45021
png	214	1173	179238	1225913	38356972
jhm	1	99300	99300	99300	99300
js	25	0	101680	1935999	2542017
txt	4	728	6061	13447	24244
ttf	18	197104	200378	203940	3606812
css	4	1460	240515	708991	962060
svg	77	266	122739	2122910	9450977
gif	2	1154212	5680174	10206137	11360349
jpg	2	19288	90443	161598	180886
jpeg	1	24698	24698	24698	24698
